City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
14,Butaritari,KI,80.78,moderate rain,3.0707,172.7902,Isles Sunset Lodge
18,Rikitea,PF,77.49,light rain,-23.1203,-134.9692,People ThankYou
25,Bluefields,NI,84.27,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
28,Rawson,AR,88.75,clear sky,-43.3002,-65.1023,Hosteria Sampedro
31,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
32,Atuona,PF,78.04,few clouds,-9.8,-139.0333,Villa Enata
33,Cape Town,ZA,80.28,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
36,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
39,Charters Towers,AU,78.66,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
42,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Mokobeng,BW,77.88,overcast clouds,-22.9965,27.6678,Omphile B. Molefhe
53,Saint-Philippe,RE,77.22,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
60,Bandarbeyla,SO,76.55,scattered clouds,9.4942,50.8122,JABIR HOTEL
63,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
68,Chuy,UY,75.99,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
69,Key Biscayne,US,84.02,broken clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
72,Prestea,GH,80.13,broken clouds,5.4327,-2.1428,Garden Hill Hotel
74,Itarema,BR,84.56,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
78,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
84,Pedernales,DO,83.28,clear sky,18.0384,-71.744,Hotel Costa Marina
88,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
93,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
95,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
98,Bahia Honda,CU,81.46,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
100,Tecoanapa,MX,84.02,scattered clouds,16.5167,-98.75,Hotel Manglares
102,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
107,Dom Pedro,BR,87.33,overcast clouds,-4.4833,-44.45,Pousada Santa Amália
110,Coahuayana,MX,85.64,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
113,Tagusao,PH,76.73,few clouds,9.1924,117.8141,Toledo
115,Hilo,US,76.12,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
120,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
133,Alibag,IN,78.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
141,Tabou,CI,80.62,overcast clouds,4.423,-7.3528,hotêl doufoulougou
148,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
150,Namatanai,PG,78.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
153,Tual,ID,83.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
154,Julio De Castilhos,BR,77.38,clear sky,-29.2269,-53.6817,Bladmir Rigol da Costa ME
161,Poum,NC,80.58,overcast clouds,-20.2333,164.0167,Gîte kajeon
163,San Luis,AR,88.63,broken clouds,-33.295,-66.3356,Huarpes Hotel
166,Sawtell,AU,75.22,broken clouds,-30.3833,153.1,The Bungalow Sawtell
167,Bonthe,SL,81.55,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
170,Chimoio,MZ,76.86,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
173,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
175,Amahai,ID,77.97,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
176,Diego De Almagro,CL,86.99,clear sky,-26.3667,-70.05,hotel luna del desierto
177,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
178,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
179,Lazaro Cardenas,MX,81.39,clear sky,17.9583,-102.2,quinta antigua
181,Sao Jose Da Coroa Grande,BR,82.83,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
